"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Storage & Transport","CT","09","Fairfield","001","PM10 Primary (Filt + Cond)","CAP",".048631464","TON"
"Chemical & Allied Product Mfg","CT","09","New Haven","009","Ammonia","CAP",".04327086","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","Carbon Monoxide","CAP",".021224696","TON"
"Chemical & Allied Product Mfg","CT","09","New London","011","PM10 Primary (Filt + Cond)","CAP",".01300788","TON"
"Chemical & Allied Product Mfg","CT","09","New London","011","PM2.5 Primary (Filt + Cond)","CAP",".01300788","TON"
"Storage & Transport","CT","09","Windham","015","PM10 Primary (Filt + Cond)","CAP",".01156935","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","Sulfur Dioxide","CAP",".009698418","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","Volatile Organic Compounds","CAP",".002655985","TON"
"Solvent Utilization","CT","09","Hartford","003","PM2.5 Primary (Filt + Cond)","CAP",".0023922805209","TON"
"Solvent Utilization","CT","09","Hartford","003","PM10 Primary (Filt + Cond)","CAP",".0023922805209","TON"
"Storage & Transport","CT","09","Windham","015","PM2.5 Primary (Filt + Cond)","CAP",".001928225","TON"
"Solvent Utilization","CT","09","Middlesex","007","PM2.5 Primary (Filt + Cond)","CAP",".0017227252","TON"
"Solvent Utilization","CT","09","Middlesex","007","PM10 Primary (Filt + Cond)","CAP",".0017227252","TON"
"Petroleum & Related Industries","CT","09","New London","011","Volatile Organic Compounds","CAP",".0008148406","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","PM10 Primary (Filt + Cond)","CAP",".000540854","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","PM2.5 Primary (Filt + Cond)","CAP",".0005354768","TON"
"Solvent Utilization","CT","09","Litchfield","005","PM10 Primary (Filt + Cond)","CAP",".000497134","TON"
"Chemical & Allied Product Mfg","CT","09","New Haven","009","PM10 Primary (Filt + Cond)","CAP",".0003964346","TON"
"Chemical & Allied Product Mfg","CT","09","New Haven","009","PM2.5 Primary (Filt + Cond)","CAP",".0003964346","TON"
