"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Solvent Utilization","MA","25","Dukes","007","Carbon Monoxide","CAP",".01410439","TON"
"Storage & Transport","MA","25","Barnstable","001","PM10 Primary (Filt + Cond)","CAP",".014","TON"
"Storage & Transport","MA","25","Barnstable","001","PM2.5 Primary (Filt + Cond)","CAP",".014","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Ammonia","CAP",".013","TON"
"Petroleum & Related Industries","MA","25","Essex","009","Sulfur Dioxide","CAP",".0118","TON"
"Solvent Utilization","MA","25","Nantucket","019","PM10 Primary (Filt + Cond)","CAP",".008462634","TON"
"Solvent Utilization","MA","25","Nantucket","019","PM2.5 Primary (Filt + Cond)","CAP",".008462634","TON"
"Solvent Utilization","MA","25","Nantucket","019","Nitrogen Oxides","CAP",".008462634","TON"
"Solvent Utilization","MA","25","Franklin","011","Carbon Monoxide","CAP",".007052195","TON"
"Other Industrial Processes","MA","25","Essex","009","Sulfur Dioxide","CAP",".0068","TON"
"Solvent Utilization","MA","25","Nantucket","019","Sulfur Dioxide","CAP",".006205932","TON"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","PM10 Primary (Filt + Cond)","CAP",".0045174551","TON"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","PM2.5 Primary (Filt + Cond)","CAP",".0045174551","TON"
"Solvent Utilization","MA","25","Dukes","007","PM10 Primary (Filt + Cond)","CAP",".004231317","TON"
"Solvent Utilization","MA","25","Dukes","007","Nitrogen Oxides","CAP",".004231317","TON"
"Solvent Utilization","MA","25","Dukes","007","PM2.5 Primary (Filt + Cond)","CAP",".004231317","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Lead","CAP/HAP",".0042112","LB"
"Metals Processing","MA","25","Worcester","027","Sulfur Dioxide","CAP",".004","TON"
"Solvent Utilization","MA","25","Dukes","007","Sulfur Dioxide","CAP",".003102966","TON"
"Miscellaneous","MA","25","Nantucket","019","Sulfur Dioxide","CAP",".002337676927","TON"
"Solvent Utilization","MA","25","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP",".002115659","TON"
"Solvent Utilization","MA","25","Franklin","011","Nitrogen Oxides","CAP",".002115659","TON"
"Solvent Utilization","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP",".002115659","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","Ammonia","CAP",".002","TON"
"Metals Processing","MA","25","Middlesex","017","Sulfur Dioxide","CAP",".002","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","Ammonia","CAP",".002","TON"
"Metals Processing","MA","25","Middlesex","017","Volatile Organic Compounds","CAP",".002","TON"
"Solvent Utilization","MA","25","Franklin","011","Sulfur Dioxide","CAP",".001551483","TON"
"Other Industrial Processes","MA","25","Norfolk","021","Ammonia","CAP",".001","TON"
"Metals Processing","MA","25","Middlesex","017","Ammonia","CAP",".0006","TON"
"Fuel Comb. Elec. Util.","MA","25","Worcester","027","Lead","CAP/HAP",".00036848","LB"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","Sulfur Dioxide","CAP",".0001","TON"
"Chemical & Allied Product Mfg","MA","25","Hampden","013","Sulfur Dioxide","CAP",".0001","TON"
"Chemical & Allied Product Mfg","MA","25","Worcester","027","Nitrogen Oxides","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","Nitrogen Oxides","CAP","0","TON"
"Metals Processing","MA","25","Bristol","005","Sulfur Dioxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Berkshire","003","Sulfur Dioxide","CAP","0","TON"
"Metals Processing","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","0","TON"
"Solvent Utilization","MA","25","Middlesex","017","Lead","CAP/HAP","0","LB"
"Chemical & Allied Product Mfg","MA","25","Essex","009","Carbon Monoxide","CAP","0","TON"
